Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  539.3939393939394  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  540.4040404040404  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  541.4141414141415  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  542.4242424242424  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  543.4343434343434  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  544.4444444444445  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  545.4545454545455  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  546.4646464646464  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  547.4747474747475  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  548.4848484848485  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  549.4949494949495  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  550.5050505050505  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  551.5151515151515  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  552.5252525252525  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  553.5353535353536  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  554.5454545454545  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  555.5555555555555  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  556.5656565656566  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  557.5757575757576  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  558.5858585858585  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  559.5959595959596  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  560.6060606060606  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  561.6161616161617  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  562.6262626262626  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  563.6363636363636  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  564.6464646464647  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 50  ,  565.6565656565657  ,  0.7500000000000072  )
